1;457d1ea3-ad52-4c8d-a46d-1abb11f30977;8,10E+17;5950;22277;274;326;371;0.54333;0.21079;0.78921;Myrtle Newsam;722982356;I am a gospel songwriter.  Currently recording a gospel CD.  I write children and adult stories. Member of BMI, CCSA and Writers Unite.;The flat tire was replaced by the driver.
2;457d1ea3-ad52-4c8d-a46d-1abb11f30977;8,10E+17;5950;22277;274;326;371;0.54333;0.21079;0.78921;Myrtle Newsam;722982356;I am a gospel songwriter.  Currently recording a gospel CD.  I write children and adult stories. Member of BMI, CCSA and Writers Unite.;The flat tire was replaced by the driver. The woman built a strong stone wall.
45;b0e3cd8a-35b4-431c-93ba-552824810bed;8,04153E+17;5980;9808;426;623;2;0.59390;0.37877;0.62123;AG;605202692;Pugs are love || Colossians 3:12 ‰ÛÊ;Let's play a game
46;e503396c-e20a-48fe-892f-3d469aae08df;8,16813E+17;9538;236337;2104;11;181;0.00520;0.03879;0.96121;Seattle CP;74998364;Seattle City And Press;Good news! Juveniles rescued from Lake Serene by Snohomish Co Fire 1. Dive team standing down. Please keep kids and‰Û_ https://t.co/IIKsbBreYK
47;359c6ca4-3de7-4830-9145-7915e937568e;8,19268E+17;3538;539;74;20;1;0.21277;0.86779;0.13221;Sun Prairie Storm;2778930883;The Storm is a USA Swimming club just outside of Madison, Wisconsin providing swimming to all ages.;"Yet again, all after school events &amp; practices have been cancelled for the evening of January 11th and the... https://t.co/uhduFLOjV0"
48;d7200f69-e886-4079-9bd4-d3d10a6b5ea1;8,22541E+17;4787;925;206;203;66;0.49633;0.83806;0.16194;Jamie Brown;1433888574;Tweets about global cybersecurity and privacy policy issues for CA Technologies;Sage #security advice: Stop using ‰Û÷123456‰Ûª as a password! https://t.co/p7UpjXYnOP via @CA_Rewrite
49;6d90290b-4581-4412-9e40-28523ed9c215;8,29997E+17;7107;1447;33;126;0;0.79245;0.83084;0.16916;KrazyyyKayy (:;435031588;NULL;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi
50;634d13a1-a185-4571-a898-f20a466628cb;8,0631E+17;3532;1314;638;616;0;0.49123;0.72885;0.27115;FreeRalloDucci?;2780713409;#freeRallo Rip Justin??;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??
51;94681ff6-4ee6-44b8-865b-0b47987160a3;8,18343E+17;8398;26347;2435;4858;87;0.66612;0.24170;0.75830;Solomon Anzenge;127550719;I am a loving Husband to MyDarlynWife, Dammy. Father to Myom n Ter. An Internet Evangelist, Digital Media Consultant, ProBlogger and Importer. +2348065387819;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu
52;18ff64ce-b7e4-4363-b8e2-dbd4b20ddbd1;8,22114E+17;3548;2982;354;522;12;0.59589;0.54334;0.45666;Gill Caballero;2743717021;Singer songwriter Waco, Texas.album on the net I Wanna Be Like Elvis Amazon. Enjoying life all it brings.music on Soundcloud & You Tube also Google!! See you !!;@PoliticsNewz You are not an American!! https://t.co/ZkHpn4143x
53;e7e0bb89-ad79-42a1-a6e6-9f3d5f815c04;7,99188E+17;8423;28022;59;202;9;0.77395;0.23112;0.76888;NicolÌÁs Dallara;109242829;Corrector OrtotipogrÌÁfico/Escritor/Auxiliar de EnfermerÌ_a;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj
54;1ed7460d-bc02-44f8-a1e6-3fe5935c329b;8,27601E+17;1198;38773;311;99;21;0.24146;0.02997;0.97003;sehÌ¼n's;7,14611E+17;To love is to receive a glimpse of heaven.;MY FAVORITE https://t.co/Dub9Pm2HXB
55;54aea49e-171d-4529-a4cf-b2c2c10c0894;8,06821E+17;4803;2992;3389;267;9;0.07303;0.61616;0.38384;Good Azz;1294863572;Flight attendant in a city near u! #teamvirgo #teambttm #teamfreak #teamlefty #teamdarkskin #teamiphone #islandbwoy chilling with my twubby: BiG_AND_BLACK;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME